,final
CY01_EA_Le,282
CY01_EA_Rh,209
CY01_EA_Ro,5566
CY01_EA_So,34149
CY02_EA_Le,258
CY02_EA_Rh,3812
CY02_EA_Ro,2872
CY02_EA_So,25830
CY03_EA_Le,49
CY03_EA_Rh,4426
CY03_EA_Ro,2591
CY03_EA_So,26048
CY04_EA_Le,53
CY04_EA_Rh,2088
CY04_EA_Ro,5053
CY04_EA_So,27524
CY05_EA_Le,49
CY05_EA_Rh,257
CY05_EA_Ro,3402
CY05_EA_So,20758
CY06_EA_Le,34
CY06_EA_Rh,1025
CY06_EA_Ro,2126
CY06_EA_So,27853
CY07_EA_Rh,325
CY07_EA_Ro,1688
CY07_EA_So,23303
CY08_EA_Le,106
CY08_EA_Rh,4593
CY08_EA_Ro,2760
CY08_EA_So,5123
CY09_EA_Le,51
CY09_EA_Rh,2691
CY09_EA_Ro,906
CY09_EA_So,18552
CY10_EA_Le,24
CY10_EA_Rh,1725
CY10_EA_Ro,1621
CY10_EA_So,26908
MShoal_EA_Le_01,2548
MShoal_EA_Le_02,1286
MShoal_EA_Le_03,2191
MShoal_EA_Le_04,1305
MShoal_EA_Le_05,3958
MShoal_EA_Le_06,1611
MShoal_EA_Le_07,2265
MShoal_EA_Le_08,1862
MShoal_EA_Le_09,2887
MShoal_EA_Le_10,2863
MShoal_EA_Rh_01,14556
MShoal_EA_Rh_02,8778
MShoal_EA_Rh_03,4224
MShoal_EA_Rh_04,349
MShoal_EA_Rh_05,10702
MShoal_EA_Rh_06,6658
MShoal_EA_Rh_07,10866
MShoal_EA_Rh_08,4183
MShoal_EA_Rh_09,10772
MShoal_EA_Rh_10,23047
Mshoal_EA_Ro_01,28074
Mshoal_EA_Ro_02,24632
Mshoal_EA_Ro_03,23560
Mshoal_EA_Ro_04,23057
Mshoal_EA_Ro_05,34174
Mshoal_EA_Ro_06,28955
Mshoal_EA_Ro_07,33635
Mshoal_EA_Ro_08,26535
Mshoal_EA_Ro_09,31175
Mshoal_EA_Ro_10,30500
Mshoal_EA_So_01,15955
Mshoal_EA_So_02,32702
Mshoal_EA_So_03,23987
Mshoal_EA_So_04,31489
Mshoal_EA_So_05,41155
Mshoal_EA_So_06,24183
Mshoal_EA_So_07,27033
Mshoal_EA_So_08,28306
Mshoal_EA_So_09,28348
Mshoal_EA_So_10,29918
PD_EA_Le_01,866
PD_EA_Le_02,550
PD_EA_Le_03,774
PD_EA_Le_04,1151
PD_EA_Le_05,252
PD_EA_Le_06,402
PD_EA_Le_07,1097
PD_EA_Le_08,4732
PD_EA_Le_09,1542
PD_EA_Le_10,1259
PD_EA_Rh_01,1469
PD_EA_Rh_02,194
PD_EA_Rh_03,560
PD_EA_Rh_04,728
PD_EA_Rh_05,2122
PD_EA_Rh_06,274
PD_EA_Rh_07,602
PD_EA_Rh_08,5803
PD_EA_Rh_09,3029
PD_EA_Rh_10,1497
PD_EA_Ro_01,30890
PD_EA_Ro_02,16117
PD_EA_Ro_03,19390
PD_EA_Ro_04,23694
PD_EA_Ro_05,10974
PD_EA_Ro_06,18995
PD_EA_Ro_07,38265
PD_EA_Ro_08,36585
PD_EA_Ro_09,35771
PD_EA_Ro_10,13099
PD_EA01_So,34398
PD_EA02_So,21926
PD_EA03_So,27552
PD_EA04_So,28096
PD_EA05_So,23773
PD_EA06_So,31596
PD_EA07_So,39503
PD_EA08_So,22234
PD_EA09_So,15107
PD_EA10_So,34445
Sem_EA_Le_01,83
Sem_EA_Le_02,4276
Sem_EA_Le_03,1135
Sem_EA_Le_04,292
Sem_EA_Le_05,174
Sem_EA_Le_06,962
Sem_EA_Le_07,840
Sem_EA_Le_08,111
Sem_EA_Le_09,575
Sem_EA_Le_10,227
Sem_EA_Rh_01,1152
Sem_EA_Rh_02,3720
Sem_EA_Rh_03,1038
Sem_EA_Rh_04,51
Sem_EA_Rh_05,2957
Sem_EA_Rh_06,7779
Sem_EA_Rh_07,1751
Sem_EA_Rh_08,248
Sem_EA_Rh_09,506
Sem_EA_Rh_10,6580
Sem_EA_Ro_01,3343
Sem_EA_Ro_02,12883
Sem_EA_Ro_03,12820
Sem_EA_Ro_04,2221
Sem_EA_Ro_05,14095
Sem_EA_Ro_06,9318
Sent_EA_Le_01,634
Sent_EA_Le_02,3080
Sent_EA_Le_03,897
Sent_EA_Le_04,1366
Sent_EA_Le_05,2431
Sent_EA_Le_06,855
Sent_EA_Le_07,1691
Sent_EA_Le_09,870
Sent_EA_Le_10,280
Sent_EA_Rh_01,2426
Sent_EA_Rh_02,198
Sent_EA_Rh_03,897
Sent_EA_Rh_04,963
Sent_EA_Rh_05,112
Sent_EA_Rh_06,936
Sent_EA_Rh_07,1542
Sent_EA_Rh_08,110
Sent_EA_Rh_10,33
Sent_EA_Ro_01,18470
Sent_EA_Ro_02,18549
Sent_EA_Ro_03,7388
Sent_EA_Ro_04,12849
Sent_EA_Ro_05,13697
Sent_EA_Ro_06,18390
Sent_EA_Ro_07,14268
Sent_EA_Ro_08,8638
Sent_EA_Ro_09,6018
Sent_EA_Ro_10,3619
Sent_EA_So_01,17209
Sent_EA_So_02,22627
Sent_EA_So_03,25115
Sent_EA_So_04,17870
Sent_EA_So_05,23560
Sent_EA_So_06,20984
Sent_EA_So_07,18296
Sent_EA_So_08,22254
Sent_EA_So_09,17759
Sent_EA_So_10,17978
Per_EA_Le_01,10433
Per_EA_Le_02,175
Per_EA_Le_03,218
Per_EA_Le_04,156
Per_EA_Le_05,170
Per_EA_Le_06,1261
Per_EA_Le_07,726
Per_EA_Le_08,264
Per_EA_Le_09,493
Per_EA_Le_10,746
Per_EA_Rh_01,43894
Per_EA_Rh_02,38170
Per_EA_Rh_03,19993
Per_EA_Rh_04,42094
Per_EA_Rh_05,18473
Per_EA_Rh_06,23970
Per_EA_Rh_07,28189
Per_EA_Rh_08,4539
Per_EA_Rh_09,12470
Per_EA_Rh_10,29355
Per_EA_Ro_01,112179
Per_EA_Ro_02,81112
Per_EA_Ro_03,69664
Per_EA_Ro_04,99089
Per_EA_Ro_05,95792
Per_EA_Ro_06,88806
Per_EA_Ro_07,76858
Per_EA_Ro_08,88474
Per_EA_Ro_09,39084
Per_EA_Ro_10,63345
Per_EA_So_01,149687
Per_EA_So_02,129427
Per_EA_So_03,144528
Per_EA_So_04,134907
Per_EA_So_05,143791
Per_EA_So_06,192646
Per_EA_So_07,150283
Per_EA_So_08,123911
Per_EA_So_09,78574
Per_EA_So_10,76124
Sem_EA_Ro_07,28432
Sem_EA_Ro_08,35820
Sem_EA_Ro_09,42793
Sem_EA_Ro_10,50230
Sem_EA_So_01,103644
Sem_EA_So_02,109919
Sem_EA_So_03,128505
Sem_EA_So_04,162603
Sem_EA_So_05,74243
Sem_EA_So_06,102469
Sem_EA_So_07,112011
Sem_EA_So_08,63995
Sem_EA_So_09,91219
Sem_EA_So_10,63128
,5539364
