"","input","filtered","denoisedF","denoisedR","merged","lengthFiltered","nonchim","filter.loss"
"BLANK_07",27441,10073,10068,10047,9853,9853,9853,0.632921540760176
"Per_EA_Le_01",274224,230604,230350,230307,229334,229334,225837,0.159067040084019
"Per_EA_Le_02",225235,184635,184304,184505,183658,183658,182644,0.180256176881923
"Per_EA_Le_03",145012,125675,125607,125583,125250,125250,124621,0.133347585027446
"Per_EA_Le_04",177122,152436,152275,152284,151788,151788,150914,0.139372861643387
"Per_EA_Le_05",158566,140398,140287,140254,139709,139709,138715,0.114576895425249
"Per_EA_Le_06",165866,143481,143365,143343,142772,142772,141831,0.13495833986471
"Per_EA_Le_07",199331,168321,167998,168224,167433,167433,166525,0.155570382930904
"Per_EA_Le_08",213296,177008,176905,176869,176313,176313,175558,0.170129772710224
"Per_EA_Le_09",161883,140383,140056,140211,139425,139425,138533,0.132811969138205
"Per_EA_Le_10",215604,185570,185341,185287,184481,184481,183387,0.139301682714606
"Per_EA_Rh_01",213166,175779,175079,174823,172805,172805,166370,0.175389133351473
"Per_EA_Rh_02",216263,173343,172396,172336,169105,169043,165810,0.19846205777225
"Per_EA_Rh_03",192175,161552,160211,159966,156611,156574,153810,0.159349551190321
"Per_EA_Rh_04",208440,178976,177618,177438,174228,174228,169604,0.14135482632892
"Per_EA_Rh_05",202600,170551,169423,169185,165637,165566,163141,0.158188548864758
"Per_EA_Rh_06",203675,175440,174589,174433,172195,172173,168492,0.138627715723579
"Per_EA_Rh_07",239241,196277,195224,195227,192256,192216,188729,0.179584602973571
"Per_EA_Rh_08",139457,113497,112905,112675,111016,111002,109697,0.18615056970966
"Per_EA_Rh_09",221912,184532,183977,183482,181224,181224,178653,0.168445149428602
"Per_EA_Rh_10",187460,160810,159360,159003,156001,155910,152157,0.142163661581137
"Per_EA_Ro_01",228559,195925,194778,194290,183770,183705,174167,0.14278151374481
"Per_EA_Ro_02",204507,173689,171214,170459,166357,166307,159477,0.150694108270133
"Per_EA_Ro_03",240108,201793,199611,199307,195352,195340,186013,0.159574025022073
"Per_EA_Ro_04",213797,171632,170424,170171,163827,163757,153459,0.197219792607006
"Per_EA_Ro_05",200883,173823,171107,170591,166475,166471,157585,0.134705276205552
"Per_EA_Ro_06",185939,156693,154924,154546,147804,147797,140313,0.15728814288557
"Per_EA_Ro_07",167606,143719,142033,141609,139020,139001,131505,0.142518764244717
"Per_EA_Ro_08",238402,198784,197337,197311,190013,189888,181987,0.166181491766009
"Per_EA_Ro_09",193223,165546,162581,162619,157468,157352,148109,0.143238641362571
"Per_EA_Ro_10",213470,176725,174980,174977,171571,171318,163457,0.172131915491638
"Per_EA_So_01",239715,205455,200834,200741,186348,185952,174171,0.142919717164132
"Per_EA_So_02",238446,197528,192861,193204,178659,178202,166347,0.171602794762756
"Per_EA_So_03",237391,198767,194590,194653,180134,179830,167649,0.162702040094191
"Per_EA_So_04",235129,192019,187449,187617,170528,169845,162527,0.183346163170005
"Per_EA_So_05",255302,212514,206698,207020,188528,187744,179386,0.167597590304815
"Per_EA_So_06",319959,263812,258217,258776,238289,237457,224424,0.175481858613135
"Per_EA_So_07",259437,221561,215696,215877,199394,198806,189426,0.14599305419042
"Per_EA_So_08",235212,193970,187740,188087,169029,167812,161634,0.17533969355305
"Per_EA_So_09",147375,124961,120240,120843,109586,109336,96540,0.152088210347752
"Per_EA_So_10",169681,136195,129068,129984,113093,112916,105439,0.197346786027899
"Sem_EA_Ro_07",210828,181140,180256,179868,176180,176030,171882,0.140816210370539
"Sem_EA_Ro_08",259424,218363,217422,217131,213369,213264,208989,0.158277568767732
"Sem_EA_Ro_09",330109,277132,276211,276030,270822,270786,264855,0.16048335549773
"Sem_EA_Ro_10",178629,151640,150475,150166,146667,146650,138849,0.151089688684368
"Sem_EA_So_01",335975,275480,252901,251518,193938,193346,189207,0.180058040032741
"Sem_EA_So_02",384440,308529,284985,283729,218414,217828,213139,0.19745864114036
"Sem_EA_So_03",436002,354747,329865,329859,263138,262329,254775,0.186363824019156
"Sem_EA_So_04",568028,462121,431768,431687,347065,346121,336128,0.186446794876309
"Sem_EA_So_05",283018,220083,199023,195953,144993,144754,140960,0.222371015271113
"Sem_EA_So_06",327722,277331,254599,254573,203063,202567,198716,0.153761419739902
"Sem_EA_So_07",311300,265476,243395,242998,194086,193751,185904,0.147202055894635
"Sem_EA_So_08",253253,203264,184365,183203,140557,140311,136707,0.19738759264451
"Sem_EA_So_09",260824,221290,203185,202936,161037,160714,158100,0.151573474833604
"Sem_EA_So_10",234684,195971,177931,177516,138145,137871,133236,0.164957986057848
